report_year,data_year,system_name,system_number,table_kind,parameter_slug,parameter_name,parameter_group,probable_source,amount_detected_raw,amount_detected_value,amount_detected_min,amount_detected_max,amount_detected_unit,range_detected_raw,range_detected_min,range_detected_max,range_detected_unit,meets_standard_raw,meets_standard_flag,mrdlg_raw,mrdl_raw,mclg_raw,mcl_raw,action_level_raw,required_samples_raw,samples_taken_raw,sampling_required_period_raw,sampling_actual_period_raw,report_notice,report_violation_flag
2021,2020,Savannah Main System,GA0510003,regulated,chlorine,Chlorine,Drinking-water additives,Water additive used to control microbes,2.20 ppm,2.2,,,ppm,0.04-2.20 ppm,0.04,2.2,ppm,check,1,,,,,,,,,,Monitoring requirements not met for reporting period.,1
2021,2020,Savannah Main System,GA0510003,regulated,copper,Copper,Metals / trace elements,Corrosion of household plumbing,0.046 ppm | (90th Percentile),0.046,,,ppm,No sample greater than action level,,,,check,1,,,,,,,,,,Monitoring requirements not met for reporting period.,1
2021,2020,Savannah Main System,GA0510003,regulated,fluoride,Fluoride,Drinking-water additives,"Erosion of natural deposits, water additive to promote strong teeth",0.95 ppm,0.95,,,ppm,0.37-0.95 ppm,0.37,0.95,ppm,check,1,,,,,,,,,,Monitoring requirements not met for reporting period.,1
2021,2020,Savannah Main System,GA0510003,regulated,haa5,Haloacetic Acids (HAA5),Disinfection byproducts,Byproduct of water chlorination,60 ppb,60.0,,,ppb,Not detected - 60 ppb,,,ppb,,,,,,,,,,,,Monitoring requirements not met for reporting period.,1
2021,2020,Savannah Main System,GA0510003,regulated,lead,Lead,Metals / trace elements,Corrosion of household plumbing,2.0 ppb | (90th Percentile),2.0,,,ppb,No sample greater than action level,,,,check,1,,,,,,,,,,Monitoring requirements not met for reporting period.,1
2021,2020,Savannah Main System,GA0510003,regulated,total_coliform_bacteria,Total Coliform Bacteria,Microbiological,Naturally present in the environment,0.81% of monthly samples,0.81,,,,Not applicable,,,,check,1,,,,,,,,,,Monitoring requirements not met for reporting period.,1
2021,2020,Savannah Main System,GA0510003,regulated,tthms,Total Triahlomethanes (TTHMs),Disinfection byproducts,Byproduct of water chlorination,75 ppb,75.0,,,ppb,Not detected - 75 ppb,,,ppb,,,,,,,,,,,,Monitoring requirements not met for reporting period.,1
2021,2020,Savannah Main System,GA0510003,unregulated,bromide,Bromide,Halides,,34.3 ppb,34.3,,,ppb,20.6-34.3 ppb,20.6,34.3,ppb,,,,,,,,,,,,Monitoring requirements not met for reporting period.,1
2021,2020,Savannah Main System,GA0510003,unregulated,haa5,HAA5,Disinfection byproducts,,47.4 ppb,47.4,,,ppb,0.61-47.4 ppb,0.61,47.4,ppb,,,,,,,,,,,,Monitoring requirements not met for reporting period.,1
2021,2020,Savannah Main System,GA0510003,unregulated,haa6br,HAA6Br,Disinfection byproducts,,8.56 ppb,8.56,,,ppb,0.31-8.56 ppb,0.31,8.56,ppb,,,,,,,,,,,,Monitoring requirements not met for reporting period.,1
2021,2020,Savannah Main System,GA0510003,unregulated,haa9,HAA9,Disinfection byproducts,,55.96 ppb,55.96,,,ppb,0.92-55.96 ppb,0.92,55.96,ppb,,,,,,,,,,,,Monitoring requirements not met for reporting period.,1
2021,2020,Savannah Main System,GA0510003,unregulated,manganese,Manganese,Metals / trace elements,,11 ppb,11.0,,,ppb,8-11 ppb,8.0,11.0,ppb,,,,,,,,,,,,Monitoring requirements not met for reporting period.,1
2021,2020,Savannah Main System,GA0510003,unregulated,total_organic_carbon,Total Organic Carbon,Organic carbon,,"6,400 ppb",6400.0,,,ppb,"3,170-6,400 ppb",3170.0,6400.0,ppb,,,,,,,,,,,,Monitoring requirements not met for reporting period.,1
2022,2021,Savannah Main System,GA0510003,regulated,chlorine,Chlorine,Drinking-water additives,Water additive used to control microbes,2.08 ppm,2.08,,,ppm,0.01-2.08 ppm,0.01,2.08,ppm,check,1,,,,,,,,,,,0
2022,2021,Savannah Main System,GA0510003,regulated,copper,Copper,Metals / trace elements,Corrosion of household plumbing,0.075 ppm | (90th Percentile),0.075,,,ppm,No sample greater than action level,,,,check,1,,,,,,,,,,,0
2022,2021,Savannah Main System,GA0510003,regulated,fluoride,Fluoride,Drinking-water additives,"Erosion of natural deposits, water additive to promote strong teeth",0.95 ppm,0.95,,,ppm,0.37-0.95 ppm,0.37,0.95,ppm,check,1,,,,,,,,,,,0
2022,2021,Savannah Main System,GA0510003,regulated,lead,Lead,Metals / trace elements,Corrosion of household plumbing,2.3 ppb | (90th Percentile),2.3,,,ppb,1 sample greater than action level,,,,check,1,,,,,,,,,,,0
2022,2021,Savannah Main System,GA0510003,regulated,thaas,Total Haloacetic Acids (THAAs),Disinfection byproducts,Byproduct of water chlorination,109 ppb,109.0,,,ppb,Not detected - 109 ppb,,,ppb,check,1,,,,,,,,,,,0
2022,2021,Savannah Main System,GA0510003,regulated,total_coliform_bacteria,Total Coliform Bacteria,Microbiological,Naturally present in the environment,0.81% of monthly samples,0.81,,,,Not applicable,,,,check,1,,,,,,,,,,,0
2022,2021,Savannah Main System,GA0510003,regulated,total_organic_carbon,Total Organic Carbon,Organic carbon,Naturally present in the environment,35-50% | (Removal Required),,35.0,50.0,,43.75-72.41% Removal,43.75,72.41,,check,1,,,,,,,,,,,0
2022,2021,Savannah Main System,GA0510003,regulated,tthms,Total Triahlomethanes (TTHMs),Disinfection byproducts,Byproduct of water chlorination,101 ppb,101.0,,,ppb,Not detected - 101 ppb,,,ppb,check,1,,,,,,,,,,,0
2022,2021,Savannah Main System,GA0510003,unregulated,bromide,Bromide,Halides,,34.3 ppb,34.3,,,ppb,20.6-34.3 ppb,20.6,34.3,ppb,,,,,,,,,,,,,0
2022,2021,Savannah Main System,GA0510003,unregulated,haa5,HAA5,Disinfection byproducts,,47.4 ppb,47.4,,,ppb,0.61-47.4 ppb,0.61,47.4,ppb,,,,,,,,,,,,,0
2022,2021,Savannah Main System,GA0510003,unregulated,haa6br,HAA6Br,Disinfection byproducts,,8.56 ppb,8.56,,,ppb,0.31-8.56 ppb,0.31,8.56,ppb,,,,,,,,,,,,,0
2022,2021,Savannah Main System,GA0510003,unregulated,haa9,HAA9,Disinfection byproducts,,55.96 ppb,55.96,,,ppb,0.92-55.96 ppb,0.92,55.96,ppb,,,,,,,,,,,,,0
2022,2021,Savannah Main System,GA0510003,unregulated,manganese,Manganese,Metals / trace elements,,11 ppb,11.0,,,ppb,8-11 ppb,8.0,11.0,ppb,,,,,,,,,,,,,0
2022,2021,Savannah Main System,GA0510003,unregulated,total_organic_carbon,Total Organic Carbon,Organic carbon,,"6,400 ppb",6400.0,,,ppb,"3,170-6,400 ppb",3170.0,6400.0,ppb,,,,,,,,,,,,,0
2023,2022,Savannah Main System,GA0510003,regulated,chlorine,Chlorine,Drinking-water additives,Water additive used to control microbes,2.10 ppm,2.1,,,ppm,0-2.10 ppm,0.0,2.1,ppm,check,1,,,,,,,,,,,0
2023,2022,Savannah Main System,GA0510003,regulated,copper,Copper,Metals / trace elements,Corrosion of household plumbing,0.075 ppm | (90th Percentile),0.075,,,ppm,No sample greater than action level,,,,check,1,,,,,,,,,,,0
2023,2022,Savannah Main System,GA0510003,regulated,fluoride,Fluoride,Drinking-water additives,"Erosion of natural deposits, water additive to promote strong teeth",1.26 ppm,1.26,,,ppm,0.05-1.26 ppm,0.05,1.26,ppm,check,1,,,,,,,,,,,0
2023,2022,Savannah Main System,GA0510003,regulated,lead,Lead,Metals / trace elements,Corrosion of household plumbing,2.3 ppb | (90th Percentile),2.3,,,ppb,1 sample greater than action level,,,,check,1,,,,,,,,,,,0
2023,2022,Savannah Main System,GA0510003,regulated,thaas,Total Haloacetic Acids (THAAs),Disinfection byproducts,Byproduct of water chlorination,36 ppb,36.0,,,ppb,Not detected - 36 ppb,,,ppb,check,1,,,,,,,,,,,0
2023,2022,Savannah Main System,GA0510003,regulated,total_coliform_bacteria,Total Coliform Bacteria,Microbiological,Naturally present in the environment,5% of monthly samples,5.0,,,,Not applicable,,,,check,1,,,,,,,,,,,0
2023,2022,Savannah Main System,GA0510003,regulated,total_organic_carbon,Total Organic Carbon,Organic carbon,Naturally present in the environment,36.36-55.56% | (Removal Required),,36.36,55.56,,43.75-72.41% Removal,43.75,72.41,,check,1,,,,,,,,,,,0
2023,2022,Savannah Main System,GA0510003,regulated,tthms,Total Triahlomethanes (TTHMs),Disinfection byproducts,Byproduct of water chlorination,64.8 ppb,64.8,,,ppb,Not detected - 64.8 ppb,,,ppb,check,1,,,,,,,,,,,0
2023,2022,Savannah Main System,GA0510003,regulated,turbidity,Turbidity,Turbidity / sediment proxy,Soil runoff,96.67 of samples were below 0.3 NTU,96.67,,,ntu,Not applicable,,,,check,1,,,,,,,,,,,0
2023,2022,Savannah Main System,GA0510003,unregulated,bromide,Bromide,Halides,,34.3 ppb,34.3,,,ppb,20.6-34.3 ppb,20.6,34.3,ppb,,,,,,,,,,,,,0
2023,2022,Savannah Main System,GA0510003,unregulated,haa5,HAA5,Disinfection byproducts,,47.4 ppb,47.4,,,ppb,0.61-47.4 ppb,0.61,47.4,ppb,,,,,,,,,,,,,0
2023,2022,Savannah Main System,GA0510003,unregulated,haa6br,HAA6Br,Disinfection byproducts,,8.56 ppb,8.56,,,ppb,0.31-8.56 ppb,0.31,8.56,ppb,,,,,,,,,,,,,0
2023,2022,Savannah Main System,GA0510003,unregulated,haa9,HAA9,Disinfection byproducts,,55.96 ppb,55.96,,,ppb,0.92-55.96 ppb,0.92,55.96,ppb,,,,,,,,,,,,,0
2023,2022,Savannah Main System,GA0510003,unregulated,manganese,Manganese,Metals / trace elements,,11 ppb,11.0,,,ppb,8-11 ppb,8.0,11.0,ppb,,,,,,,,,,,,,0
2023,2022,Savannah Main System,GA0510003,unregulated,total_organic_carbon,Total Organic Carbon,Organic carbon,,"6,400 ppb",6400.0,,,ppb,"3,170-6,400 ppb",3170.0,6400.0,ppb,,,,,,,,,,,,,0
2024,2023,Savannah Main System,GA0510003,regulated,arsenic,Arsenic,Metals / trace elements,"Erosion of natural deposits, runoff from orchards, runoff from glass and electronics production wastes",6 ppb,6.0,,,ppb,Not detected - 6 ppb,,,ppb,check,1,,,,,,,,,,,0
2024,2023,Savannah Main System,GA0510003,regulated,chlorine,Chlorine,Drinking-water additives,Water additive used to control microbes,2.07 ppm,2.07,,,ppm,0-2.07 ppm,0.0,2.07,ppm,check,1,,,,,,,,,,,0
2024,2023,Savannah Main System,GA0510003,regulated,copper,Copper,Metals / trace elements,Corrosion of household plumbing,0.075 ppm | (90th Percentile),0.075,,,ppm,No sample greater than action level,,,,check,1,,,,,,,,,,,0
2024,2023,Savannah Main System,GA0510003,regulated,fluoride,Fluoride,Drinking-water additives,"Erosion of natural deposits, water additive to promote strong teeth",1.26 ppm,1.26,,,ppm,0.05-1.26 ppm,0.05,1.26,ppm,check,1,,,,,,,,,,,0
2024,2023,Savannah Main System,GA0510003,regulated,lead,Lead,Metals / trace elements,Corrosion of household plumbing,2.3 ppb | (90th Percentile),2.3,,,ppb,1 sample greater than action level,,,,check,1,,,,,,,,,,,0
2024,2023,Savannah Main System,GA0510003,regulated,thaas,Total Haloacetic Acids (THAAs),Disinfection byproducts,Byproduct of water chlorination,54 ppb,54.0,,,ppb,Not detected - 54 ppb,,,ppb,check,1,,,,,,,,,,,0
2024,2023,Savannah Main System,GA0510003,regulated,total_coliform_bacteria,Total Coliform Bacteria,Microbiological,Naturally present in the environment,2.3% of monthly samples,2.3,,,,Not applicable,,,,check,1,,,,,,,,,,,0
2024,2023,Savannah Main System,GA0510003,regulated,total_organic_carbon,Total Organic Carbon,Organic carbon,Naturally present in the environment,35-50% | (Removal Required),,35.0,50.0,,36.36-68.38% Removal,36.36,68.38,,check,1,,,,,,,,,,,0
2024,2023,Savannah Main System,GA0510003,regulated,tthms,Total Triahlomethanes (TTHMs),Disinfection byproducts,Byproduct of water chlorination,64 ppb,64.0,,,ppb,Not detected - 64 ppb,,,ppb,check,1,,,,,,,,,,,0
2024,2023,Savannah Main System,GA0510003,regulated,turbidity,Turbidity,Turbidity / sediment proxy,Soil runoff,99% of samples were below 0.3 NTU,99.0,,,ntu,Not applicable,,,,check,1,,,,,,,,,,,0
2024,2023,Savannah Main System,GA0510003,unregulated,bromide,Bromide,Halides,,34.3 ppb,34.3,,,ppb,20.6-34.3 ppb,20.6,34.3,ppb,,,,,,,,,,,,,0
2024,2023,Savannah Main System,GA0510003,unregulated,haa5,HAA5,Disinfection byproducts,,47.4 ppb,47.4,,,ppb,0.61-47.4 ppb,0.61,47.4,ppb,,,,,,,,,,,,,0
2024,2023,Savannah Main System,GA0510003,unregulated,haa6br,HAA6Br,Disinfection byproducts,,8.56 ppb,8.56,,,ppb,0.31-8.56 ppb,0.31,8.56,ppb,,,,,,,,,,,,,0
2024,2023,Savannah Main System,GA0510003,unregulated,haa9,HAA9,Disinfection byproducts,,55.96 ppb,55.96,,,ppb,0.92-55.96 ppb,0.92,55.96,ppb,,,,,,,,,,,,,0
2024,2023,Savannah Main System,GA0510003,unregulated,manganese,Manganese,Metals / trace elements,,11 ppb,11.0,,,ppb,8-11 ppb,8.0,11.0,ppb,,,,,,,,,,,,,0
2024,2023,Savannah Main System,GA0510003,unregulated,total_organic_carbon,Total Organic Carbon,Organic carbon,,"6,400 ppb",6400.0,,,ppb,"3,170-6,400 ppb",3170.0,6400.0,ppb,,,,,,,,,,,,,0
2025,2024,Savannah Main System,GA0510003,regulated,arsenic,Arsenic,Metals / trace elements,"Erosion of natural deposits, runoff from orchards, runoff from glass and electronics production wastes",6 ppb,6.0,,,ppb,Not detected - 6 ppb,,,ppb,check,1,,,,,,,,,,,0
2025,2024,Savannah Main System,GA0510003,regulated,chlorine,Chlorine,Drinking-water additives,Water additive used to control microbes,1.99 ppm,1.99,,,ppm,0.19-1.99 ppm,0.19,1.99,ppm,check,1,,,,,,,,,,,0
2025,2024,Savannah Main System,GA0510003,regulated,copper,Copper,Metals / trace elements,Corrosion of household plumbing,0.11 ppm | (90th Percentile),0.11,,,ppm,0.014-0.22 ppm,0.014,0.22,ppm,check,1,,,,,,,,,,,0
2025,2024,Savannah Main System,GA0510003,regulated,fluoride,Fluoride,Drinking-water additives,"Erosion of natural deposits, water additive to promote strong teeth",1.26 ppm,1.26,,,ppm,0.05-1.26 ppm,0.05,1.26,ppm,check,1,,,,,,,,,,,0
2025,2024,Savannah Main System,GA0510003,regulated,lead,Lead,Metals / trace elements,Corrosion of household plumbing,3.9 ppb | (90th Percentile),3.9,,,ppb,0-100 ppb,0.0,100.0,ppb,check,1,,,,,,,,,,,0
2025,2024,Savannah Main System,GA0510003,regulated,nitrate,Nitrate,Nitrogen,"Runoff from fertilizer use, leaching from septic tanks, sewage, or erosion of natural deposits",0.26 ppm,0.26,,,ppm,0-0.26 ppm,0.0,0.26,ppm,check,1,,,,,,,,,,,0
2025,2024,Savannah Main System,GA0510003,regulated,thaas,Total Haloacetic Acids (THAAs),Disinfection byproducts,Byproduct of water chlorination,41.025 ppb,41.025,,,ppb,Not detected - 76 ppb,,,ppb,check,1,,,,,,,,,,,0
2025,2024,Savannah Main System,GA0510003,regulated,total_coliform_bacteria,Total Coliform Bacteria,Microbiological,Naturally present in the environment,0.8% of monthly samples,0.8,,,,Not applicable,,,,check,1,,,,,,,,,,,0
2025,2024,Savannah Main System,GA0510003,regulated,total_organic_carbon,Total Organic Carbon,Organic carbon,Naturally present in the environment,35-50% | (Removal Required),,35.0,50.0,,36.36-68.38% Removal,36.36,68.38,,check,1,,,,,,,,,,,0
2025,2024,Savannah Main System,GA0510003,regulated,tthms,Total Triahlomethanes (TTHMs),Disinfection byproducts,Byproduct of water chlorination,63.075 ppb,63.075,,,ppb,Not detected - 122 ppb,,,ppb,check,1,,,,,,,,,,,0
2025,2024,Savannah Main System,GA0510003,regulated,turbidity,Turbidity,Turbidity / sediment proxy,Soil runoff,99% of samples were below 0.3 NTU,99.0,,,ntu,Not applicable,,,,check,1,,,,,,,,,,,0
2025,2024,Savannah Main System,GA0510003,unregulated,bromide,Bromide,Halides,,34.3 ppb,34.3,,,ppb,20.6-34.3 ppb,20.6,34.3,ppb,,,,,,,,,,,,,0
2025,2024,Savannah Main System,GA0510003,unregulated,haa5,HAA5,Disinfection byproducts,,47.4 ppb,47.4,,,ppb,0.61-47.4 ppb,0.61,47.4,ppb,,,,,,,,,,,,,0
2025,2024,Savannah Main System,GA0510003,unregulated,haa6br,HAA6Br,Disinfection byproducts,,8.56 ppb,8.56,,,ppb,0.31-8.56 ppb,0.31,8.56,ppb,,,,,,,,,,,,,0
2025,2024,Savannah Main System,GA0510003,unregulated,haa9,HAA9,Disinfection byproducts,,55.96 ppb,55.96,,,ppb,0.92-55.96 ppb,0.92,55.96,ppb,,,,,,,,,,,,,0
2025,2024,Savannah Main System,GA0510003,unregulated,manganese,Manganese,Metals / trace elements,,11 ppb,11.0,,,ppb,8-11 ppb,8.0,11.0,ppb,,,,,,,,,,,,,0
2025,2024,Savannah Main System,GA0510003,unregulated,total_organic_carbon,Total Organic Carbon,Organic carbon,,"6,400 ppb",6400.0,,,ppb,"3,170-6,400 ppb",3170.0,6400.0,ppb,,,,,,,,,,,,,0
