source_id,title,url,domain,category,priority,dataset_signal,academic_signal,official_signal,evidence_count,validation_status,validation_score,manual_validation_required,target_intent,search_profiles,research_tracks
pplx-src-001,análise do uso e ocupação e dinâmica hidrossedimentológica do ...,https://www.editorarealize.com.br/editora/anais/enanpege/2021/TRABALHO_COMPLETO_EV154_MD1_SA126_ID209119112021235412.pdf,editorarealize.com.br,academic_source,medium,False,True,False,12,validated,0.81,False,academic_knowledge,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n1_uso_cobertura_solo,n2_agro_residuos_ocupacao,n2_desmatamento_queimadas,n2_saneamento_esgoto,n3_batimetria_morfometria,n3_operacao_reservatorios,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua,n4_series_temporais_tendencias"
pplx-src-002,"expansão urbana por meio de ocupações irregulares têm afetado a área da bacia, contribuindo para a diminuição de sua qualidade ambiental. Portanto, o fator preponderante dessa problematização são as ações antrópicas, cujos aspectos subjetivos residem na percepção ambiental da população. O objetivo da presente pesquisa é estudar a relação entre a percepção ambiental dos moradores e a qualidade ambiental da bacia. A pesquisa divide-se em três fases: qualidade de água, uso e ocupação do solo, e per",https://docs.ufpr.br/~bleninger/dissertacoes/155-Luiz_Vasconcelos_da_Silva_Filho.pdf,docs.ufpr.br,academic_source,medium,False,True,False,12,validated,0.81,False,academic_knowledge,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n1_uso_cobertura_solo,n2_agro_residuos_ocupacao,n2_desmatamento_queimadas,n2_saneamento_esgoto,n3_batimetria_morfometria,n3_operacao_reservatorios,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua,n4_series_temporais_tendencias"
pplx-src-003,Impacto das ações antrópicas e do clima no uso e ocupação do solo na Bacia Hidrográfica do Rio Pajeú,https://repositorio.ufpe.br/handle/123456789/26802,repositorio.ufpe.br,academic_source,medium,False,True,False,12,validated,0.81,False,academic_knowledge,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n1_uso_cobertura_solo,n2_agro_residuos_ocupacao,n2_desmatamento_queimadas,n2_saneamento_esgoto,n3_batimetria_morfometria,n3_operacao_reservatorios,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua,n4_series_temporais_tendencias"
pplx-src-004,impacto das ações antrópicas e do uso do solo na qualidade da água na bacia do rio Tietê,https://repositorio.ufpe.br/bitstream/123456789/26802/1/DISSERTA%C3%87%C3%83O%20Luciana%20Mayla%20de%20Aquino%20Fran%C3%A7a.pdf,repositorio.ufpe.br,academic_source,medium,False,True,False,12,validated,0.81,False,academic_knowledge,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n1_uso_cobertura_solo,n2_agro_residuos_ocupacao,n2_desmatamento_queimadas,n2_saneamento_esgoto,n3_batimetria_morfometria,n3_operacao_reservatorios,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua,n4_series_temporais_tendencias"
pplx-src-005,"impactos das atividades antrópicas na qualidade da água e dinâmica hidrológica da bacia do rio Areal, Taubaté-SP",https://ipabhi.org/repositorio/index.php/rca/article/download/138/166,ipabhi.org,academic_source,medium,False,True,False,12,validated,0.81,False,academic_knowledge,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n1_uso_cobertura_solo,n2_agro_residuos_ocupacao,n2_desmatamento_queimadas,n2_saneamento_esgoto,n3_batimetria_morfometria,n3_operacao_reservatorios,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua,n4_series_temporais_tendencias"
pplx-src-006,Planejamento sustentável aplicado ao eixo do rio Tietê - SBE16,https://sbe16.civil.uminho.pt/app/wp-content/uploads/2016/09/SBE16-Brazil-Portugal-Vol_3-Pag_1521.pdf,sbe16.civil.uminho.pt,academic_source,medium,False,True,False,12,validated,0.81,False,academic_knowledge,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n1_uso_cobertura_solo,n2_agro_residuos_ocupacao,n2_desmatamento_queimadas,n2_saneamento_esgoto,n3_batimetria_morfometria,n3_operacao_reservatorios,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua,n4_series_temporais_tendencias"
pplx-src-007,Proposta para acelerar a despoluição dos rios e reservatórios da Bacia do Alto Tietê,https://saneamentobasico.com.br/wp-content/uploads/2019/06/Proposta-para-despolui%C3%A7%C3%A3o-rios-da-RMSP-R17.pdf,saneamentobasico.com.br,institutional_report,medium,False,False,False,12,adjusted,0.53,True,academic_knowledge,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n1_uso_cobertura_solo,n2_agro_residuos_ocupacao,n2_desmatamento_queimadas,n2_saneamento_esgoto,n3_batimetria_morfometria,n3_operacao_reservatorios,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua,n4_series_temporais_tendencias"
pplx-src-008,"RESUMO A alteração no uso e ocupação do solo, bem como a implantação de barragens para uso hidrelétrico, têm afetado a produção de sedimentos nas vertentes e disponibilidade destes nos rios do Centro-Oeste do Brasil nas últimas décadas.",https://repositorio.unifesp.br/server/api/core/bitstreams/94b9f191-6549-480b-a771-e52824216c2b/content,repositorio.unifesp.br,academic_source,medium,False,True,False,12,validated,0.81,False,academic_knowledge,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n1_uso_cobertura_solo,n2_agro_residuos_ocupacao,n2_desmatamento_queimadas,n2_saneamento_esgoto,n3_batimetria_morfometria,n3_operacao_reservatorios,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua,n4_series_temporais_tendencias"
pplx-src-009,"Revista de Geografia (Recife) V. 38, No. 2, 2021",https://pdfs.semanticscholar.org/9c64/8e494d7f4ab3c5de1f74c6a1812a07346335.pdf,pdfs.semanticscholar.org,academic_source,medium,False,True,False,12,validated,0.81,False,academic_knowledge,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n1_uso_cobertura_solo,n2_agro_residuos_ocupacao,n2_desmatamento_queimadas,n2_saneamento_esgoto,n3_batimetria_morfometria,n3_operacao_reservatorios,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua,n4_series_temporais_tendencias"
pplx-src-010,Avaliação integrada da bacia da represa Taiaçupeba e fatores que influenciam a qualidade da água na Região Metropolitana de São Paulo,https://abes-dn.org.br/anaiseletronicos/33cbesa/261_tema_iv.pdf,abes-dn.org.br,academic_source,medium,False,True,False,11,validated,0.81,False,academic_knowledge,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n2_agro_residuos_ocupacao,n2_desmatamento_queimadas,n2_saneamento_esgoto,n3_batimetria_morfometria,n3_operacao_reservatorios,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua,n4_series_temporais_tendencias"
pplx-src-011,"AUTARQUIA ASSOCIADA À UNIVERSIDADE DE SÃO PAULO AVALIAÇÃO DO IMPACTO DA ATIVIDADE AGROPECUÁRIA NA QUALIDADE DA ÁGUA EM ÁREAS DE CAPTAÇÃO SUPERFICIAL NAS BACIAS HIDROGRÁFICAS DOS RIOS MOGI-GUAÇU E PARDO, SÃO PAULO …",http://pelicano.ipen.br/PosG30/TextoCompleto/Lidia%20Katsuoka_D.pdf,pelicano.ipen.br,academic_source,medium,False,True,False,10,validated,0.81,False,contextual_intelligence,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_uso_cobertura_solo,n2_agro_residuos_ocupacao,n2_desmatamento_queimadas,n2_saneamento_esgoto,n3_batimetria_morfometria,n3_operacao_reservatorios,n3_qualidade_agua_reservatorios,n4_sensoriamento_remoto_agua,n4_series_temporais_tendencias"
pplx-src-012,Avaliação nos ambientes de proteção da bacia hidrográfica do rio Jundiaí-Mirim,https://www.sorocaba.unesp.br/Home/Pos-Graduacao/PosCA/dissertacao-bruno-marques-compressed.pdf,sorocaba.unesp.br,academic_source,medium,False,True,False,9,validated,0.81,False,academic_knowledge,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n2_agro_residuos_ocupacao,n2_desmatamento_queimadas,n3_batimetria_morfometria,n3_operacao_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua,n4_series_temporais_tendencias"
pplx-src-013,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,https://repositorio.utfpr.edu.br/jspui/bitstream/1/12577/1/MD_COEAM_2015_1_04.pdf,repositorio.utfpr.edu.br,academic_source,medium,False,True,False,7,validated,0.81,False,academic_knowledge,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n2_agro_residuos_ocupacao,n2_saneamento_esgoto,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua"
pplx-src-014,DINÂMICA DE USO E OCUPAÇÃO DO SOLO NA BACIA ... - Ufac,https://periodicos.ufac.br/index.php/Uaquiri/article/view/6559,periodicos.ufac.br,academic_source,medium,False,True,False,6,validated,0.81,False,contextual_intelligence,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_uso_cobertura_solo,n2_desmatamento_queimadas,n3_batimetria_morfometria,n3_operacao_reservatorios,n4_series_temporais_tendencias"
pplx-src-015,Este trabalho foi desenvolvido junto ao Programa de Pós-graduação em Engenharia de Recursos Hídricos e Saneamento Ambiental do Instituto de Pesquisas Hidráulicas da Universidade Fe,https://lume.ufrgs.br/bitstream/handle/10183/5907/000477547.pdf,lume.ufrgs.br,academic_source,medium,False,True,False,6,validated,0.81,False,academic_knowledge,"academic_knowledge,monitoring_sources,official_data_portals","n1_clima_hidrologia,n2_agro_residuos_ocupacao,n2_saneamento_esgoto,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua"
pplx-src-016,"RESUMO Este estudo objetivou analisar como, quando e o quanto as mudanças no uso do solo e cobertura vegetal influenciaram o comportamento hidrológico da bacia hidrográfica do rio Itacaiúnas (BHRI), Amazônia Oriental, nos últimos 40 anos (1973-2013). As principais mudanças de uso e cobertura do solo na bacia neste período foram as significativas reduções da floresta nativa, aumento acentuado da área de pastagem e crescimento das áreas urbanas.",https://repositorio.museu-goeldi.br/bitstream/mgoeldi/1965/1/Tese%20Doutorado%20Renato%20Oliveira%20da%20Silva%20J%C3%BAnior_2017.pdf,repositorio.museu-goeldi.br,academic_source,medium,False,True,False,6,validated,0.81,False,contextual_intelligence,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_uso_cobertura_solo,n2_desmatamento_queimadas,n3_batimetria_morfometria,n3_operacao_reservatorios,n4_series_temporais_tendencias"
pplx-src-017,"segundo de três reservatórios em cascata do Sistema Salto de Hidrelétricas, localizado no município de São Francisco de Paula (RS), motivou a investigação das possíveis fontes de nutrientes, especialmente de fósforo (P) que foi identificado como limitante para a eutrofização. Foram investigadas fontes de origens difusas (solos, águas e sedimentos dos tributários) e pontuais (uso urbano e a carga interna representada pelo sedimento do leito dos reservatórios). Os resultados mostraram característi",https://rigeo.sgb.gov.br/bitstream/doc/335/1/tese_melissa_franzen.pdf,rigeo.sgb.gov.br,academic_source,medium,False,True,False,6,validated,0.81,False,academic_knowledge,"academic_knowledge,monitoring_sources,official_data_portals","n1_clima_hidrologia,n2_agro_residuos_ocupacao,n2_saneamento_esgoto,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua"
pplx-src-018,inserção do tema transversal de meio ambiente,https://repositorio.ufpb.br/jspui/bitstream/123456789/20972/1/LWRC14092021.pdf,repositorio.ufpb.br,academic_source,medium,False,True,False,5,validated,0.81,False,contextual_intelligence,"academic_knowledge,monitoring_sources,official_data_portals","n1_uso_cobertura_solo,n2_desmatamento_queimadas,n3_batimetria_morfometria,n3_operacao_reservatorios,n4_series_temporais_tendencias"
pplx-src-019,Relatório de gestão de recursos hídricos e qualidade da água na bacia do Rio Tietê,https://repositorio.unesp.br/server/api/core/bitstreams/aa801dd8-8252-4766-8d02-c395afe866e9/content,repositorio.unesp.br,institutional_report,medium,False,True,False,5,adjusted,0.63,True,contextual_intelligence,"academic_knowledge,monitoring_sources,official_data_portals","n1_uso_cobertura_solo,n2_desmatamento_queimadas,n3_batimetria_morfometria,n3_operacao_reservatorios,n4_series_temporais_tendencias"
pplx-src-020,Formas de ocupação do solo e impacto na qualidade da água na bacia do Rio Tietê,http://institutoproterra.org.br/attach/upload/termodereferenciaedital02-2019.pdf,institutoproterra.org.br,institutional_report,medium,False,False,False,4,validated,0.71,False,dataset_discovery,"geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n2_saneamento_esgoto,n3_qualidade_agua_reservatorios"
pplx-src-021,Universidade Federal de São Paulo,https://repositorio.unifesp.br/bitstream/handle/11600/60278/Trabalho%20de%20Conclusao%20de%20Curso%20%20-%20Danilo%20e%20Rafael.pdf,repositorio.unifesp.br,academic_source,medium,False,True,False,4,validated,0.81,False,dataset_discovery,"geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n2_saneamento_esgoto,n3_qualidade_agua_reservatorios"
pplx-src-022,Captação desordenada da água subterrânea e uso do solo na bacia hidrográfica do rio Tietê,https://repositorio.unaerp.br/bitstream/handle/12345/240/0000093b.pdf,repositorio.unaerp.br,academic_source,medium,False,True,False,3,validated,0.81,False,academic_knowledge,"academic_knowledge,official_data_portals","n2_agro_residuos_ocupacao,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua"
pplx-src-023,Dissertação sobre gestão de recursos hídricos na Bacia do Alto Tietê,https://comiteat.sp.gov.br/wp-content/uploads/2020/05/Amauri-Pollachi-Disserta%C3%A7%C3%A3o-Aplica%C3%A7%C3%A3o-do-Fundo-Estadual-de-Recursos-H%C3%ADdricos-em-%C3%A1reas-de-mananciais-da-Bacia-do-Alto-Tiet%C3%AA.pdf,comiteat.sp.gov.br,institutional_report,medium,False,True,False,3,validated,0.81,False,academic_knowledge,"academic_knowledge,official_data_portals","n2_agro_residuos_ocupacao,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua"
pplx-src-024,"Revista de Geografia (Recife) V. 38, No. 2, 2021",https://geo.ufes.br/sites/geografia.ufes.br/files/field/anexo/pontini.pdf,geo.ufes.br,academic_source,medium,False,True,False,2,validated,0.81,False,dataset_discovery,"monitoring_sources,official_data_portals","n1_clima_hidrologia,n2_saneamento_esgoto"
pplx-src-025,"Ambiente & Sociedade n São Paulo. Vol. 22, 2019 n Artigo Original n 2019;22:e02922",https://www.scielo.br/j/asoc/a/qVnV57GTJSsQDPxSSkT4xLb,scielo.br,academic_source,medium,False,True,False,1,needs_manual_validation,0.58,True,dataset_discovery,monitoring_sources,n1_uso_cobertura_solo
pplx-src-026,ANÁLISE GEOAMBIENTAL DA TRANSFORMAÇÃO ...,https://revistas.ung.br/saude/article/view/2835,revistas.ung.br,academic_source,medium,False,True,False,1,needs_manual_validation,0.58,True,dataset_discovery,monitoring_sources,n3_qualidade_agua_reservatorios
pplx-src-027,O uso e ocupação do solo influenciam diretamente na qualidade e na disponibilidade dos recursos hídricos,https://tede.unioeste.br/bitstream/tede/6414/5/Iasmim%20Fernanda%20Vieira.pdf,tede.unioeste.br,academic_source,medium,False,True,False,1,needs_manual_validation,0.58,True,dataset_discovery,monitoring_sources,n1_uso_cobertura_solo
pplx-src-028,PROGRAMA DE MESTRADO EM ANÁLISE GEOAMBIENTAL,http://tede.ung.br/bitstream/123456789/607/1/Marcos+de+Souza+Rocha+-+Finalizada.pdf,tede.ung.br,academic_source,medium,False,True,False,1,needs_manual_validation,0.58,True,academic_knowledge,academic_knowledge,n4_materia_organica_cdom
pplx-src-029,análise das potencialidades e fragilidades da bacia ...,https://copec.eu/congresses/cbpas2003/proc/pdf/T185.pdf,copec.eu,institutional_report,low,False,False,False,12,adjusted,0.53,True,academic_knowledge,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n1_uso_cobertura_solo,n2_agro_residuos_ocupacao,n2_desmatamento_queimadas,n2_saneamento_esgoto,n3_batimetria_morfometria,n3_operacao_reservatorios,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua,n4_series_temporais_tendencias"
pplx-src-030,Mancha de poluição no Tietê continua a crescer apesar dos esforços pela revitalização do rio,https://www.sosma.org.br/noticias/mancha-de-poluicao-no-tiete-continua-a-crescer-apesar-dos-esforcos-pela-revitalizacao-do-rio,sosma.org.br,civil_society_monitoring,low,False,False,False,12,validated,0.71,False,academic_knowledge,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n1_uso_cobertura_solo,n2_agro_residuos_ocupacao,n2_desmatamento_queimadas,n2_saneamento_esgoto,n3_batimetria_morfometria,n3_operacao_reservatorios,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua,n4_series_temporais_tendencias"
pplx-src-031,vulnerabilidade ambiental das margens do rio tietê,https://portaldeperiodicos.animaeducacao.com.br/index.php/gestao_ambiental/article/download/5987/3573,portaldeperiodicos.animaeducacao.com.br,academic_source,low,False,True,False,12,validated,0.81,False,academic_knowledge,"academic_knowledge,geospatial_data,monitoring_sources,official_data_portals","n1_bacia_geomorfologia,n1_clima_hidrologia,n1_uso_cobertura_solo,n2_agro_residuos_ocupacao,n2_desmatamento_queimadas,n2_saneamento_esgoto,n3_batimetria_morfometria,n3_operacao_reservatorios,n3_qualidade_agua_reservatorios,n4_materia_organica_cdom,n4_sensoriamento_remoto_agua,n4_series_temporais_tendencias"
pplx-src-032,Diagnóstico ambiental da bacia hidrográfica do córrego Bebedouro – BHCB,https://repositorio.ufms.br/retrieve/97060cde-05cf-4b3e-85f8-90c8998da11b/Dissertacao_AnaCarolinaFontanettiPinto.pdf,repositorio.ufms.br,academic_source,low,False,True,False,5,validated,0.81,False,contextual_intelligence,"academic_knowledge,monitoring_sources,official_data_portals","n1_uso_cobertura_solo,n2_desmatamento_queimadas,n3_batimetria_morfometria,n3_operacao_reservatorios,n4_series_temporais_tendencias"
